ROW_ID,ORDER_ID,ORDER_DATE,PRIORITY,QUANTITY,SALES,DISCOUNT,MODE,PROFIT,UNIT_PRICE,SHIPPING_COSTS,CUSTOMER_ID,PROVINCE,REGION,SEGMENT,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,PRODUCT_CONTAINER,SHIP_DATE
1,3,10/13/1982,Low,6,261.54,0.04,Regular Air,-213.25,38.94,35,1,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,10/20/2010
2,6,2/20/2012,Not Specified,2,6.93,0.01,Regular Air,-4.64,2.08,2.56,782,Alberta,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Kleencut� Forged Office Shears by Acme United Corporation,Small Pack,2/21/2012
5,32,7/15/2011,High,23,160.2335,0.04,Regular Air,-85.13,7.99,5.03,653,Alberta,West,Corporate,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,7/17/2011
4,32,7/15/2011,High,24,1761.4,0.09,Delivery Truck,-1748.56,70.89,89.3,653,Alberta,West,Corporate,Furniture,Tables,KI Conference Tables,Jumbo Box,7/16/2011
3,32,7/15/2011,High,26,2808.08,0.07,Regular Air,1054.82,107.53,5.81,653,Alberta,West,Corporate,Furniture,Office Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Medium Box,7/17/2011
6,32,7/15/2011,High,15,140.56,0.04,Regular Air,-128.38,8.46,8.99,653,Saskachewan,Prarie,Corporate,Technology,Computer Peripherals,"Imation 3.5 IBM Diskettes, 10/Box",Small Pack,7/16/2011
8,35,10/22/2011,Not Specified,14,1892.848,0.01,Regular Air,48.99,155.99,8.99,88,British Columbia,West,Corporate,Technology,Telephones and Communication,CF 688,Small Box,10/24/2011
7,35,10/22/2011,Not Specified,30,288.56,0.03,Regular Air,60.72,9.11,2.25,88,British Columbia,West,Corporate,Office Supplies,Pens & Art Supplies,Dixon Ticonderoga Core-Lock Colored Pencils,Wrap Bag,10/23/2011
9,36,11/2/2011,Critical,46,2484.7455,0.1,Regular Air,657.48,65.99,4.2,759,Alberta,West,Home Office,Technology,Telephones and Communication,6162i,Small Box,11/2/2011
10,65,3/17/2011,Critical,32,3812.73,0.02,Regular Air,1470.30,115.79,1.99,239,Ontario,Ontario,Corporate,Technology,Computer Peripherals,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Small Pack,3/18/2011
11,66,1/19/2009,Low,41,108.15,0.09,Regular Air,7.57,2.88,0.7,493,Alberta,West,Consumer,Office Supplies,Pens & Art Supplies,Newell 340,Wrap Bag,1/19/2009
13,69,6/3/2009,Not Specified,28,51.53,0.03,Express Air,0.35,1.68,0.7,654,Saskachewan,Prarie,Corporate,Office Supplies,Pens & Art Supplies,Newell 308,Wrap Bag,6/5/2009
12,69,6/3/2009,Not Specified,42,1186.06,0.09,Regular Air,511.69,30.93,3.92,654,Saskachewan,Prarie,Corporate,Furniture,Office Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Small Pack,6/5/2009
15,70,12/17/2010,Low,46,7804.53,0.05,Regular Air,2057.17,205.99,5.99,440,Quebec,Quebec,Home Office,Technology,Telephones and Communication,3285,Small Box,12/22/2010
14,70,12/17/2010,Low,48,90.05,0.03,Regular Air,-107.00,1.86,2.58,440,Quebec,Quebec,Home Office,Office Supplies,Rubber Bands,"Super Bands, 12/Pack",Wrap Bag,12/22/2010
16,96,4/16/2009,High,37,4158.1235,0.01,Regular Air,1228.89,125.99,8.99,561,Manitoba,Prarie,Home Office,Technology,Telephones and Communication,SC7868i,Small Box,4/18/2009
17,97,1/28/2010,Medium,26,75.57,0.03,Regular Air,28.24,2.89,0.5,341,Yukon,Yukon,Consumer,Office Supplies,Labels,Avery 498,Small Box,1/29/2010
18,129,11/18/2012,Low,4,32.72,0.09,Regular Air,-22.59,6.48,8.19,225,Ontario,Ontario,Corporate,Office Supplies,Paper,Xerox 217,Small Box,11/27/2012
21,130,5/7/2012,High,23,236.46,0.05,Regular Air,-134.31,9.71,9.45,676,Saskachewan,Prarie,Corporate,Office Supplies,Storage & Organization,Filing/Storage Totes and Swivel Casters,Small Box,5/10/2012
20,130,5/7/2012,High,29,575.11,0.02,Regular Air,71.75,18.97,9.03,676,Saskachewan,Prarie,Corporate,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,5/8/2012
19,130,5/7/2012,High,3,461.89,0.05,Express Air,-309.82,150.98,13.99,676,Saskachewan,Prarie,Corporate,Technology,Office Machines,Canon MP41DH Printing Calculator,Medium Box,5/9/2012
22,132,6/10/2010,Medium,27,192.814,0.03,Regular Air,-86.20,7.99,5.03,415,Quebec,Quebec,Consumer,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,6/11/2010
23,132,6/10/2010,Medium,30,4011.65,0.05,Delivery Truck,-603.80,130.98,54.74,415,Nova Scotia,Atlantic,Consumer,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",Jumbo Box,6/13/2010
24,134,4/30/2012,Not Specified,11,1132.6,0.01,Regular Air,-310.21,95.99,35,312,Ontario,Ontario,Home Office,Office Supplies,Storage & Organization,Safco Industrial Wire Shelving,Large Box,5/2/2012
25,135,10/20/2011,Not Specified,25,125.85,0.09,Regular Air,-89.25,4.98,4.62,457,Quebec,Quebec,Consumer,Technology,Computer Peripherals,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Small Pack,10/22/2011
26,166,9/11/2011,High,10,567.936,0.02,Express Air,-126.09,65.99,8.99,571,Manitoba,Prarie,Consumer,Technology,Telephones and Communication,i270,Small Box,9/13/2011
27,193,8/7/2010,Critical,14,174.89,0.06,Regular Air,-37.04,12.44,6.27,144,Quebec,Quebec,Consumer,Office Supplies,Storage & Organization,Eldon Simplefile� Box Office�,Medium Box,8/9/2010
29,194,4/4/2012,Medium,6,20.19,0.04,Regular Air,-13.44,3.14,1.92,325,Alberta,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Serrated Blade or Curved Handle Hand Letter Openers,Wrap Bag,4/6/2012
28,194,4/4/2012,Medium,49,329.03,0.1,Regular Air,-197.25,7.28,7.98,325,Alberta,West,Corporate,Furniture,Office Furnishings,"Master Caster Door Stop, Large Neon Orange",Wrap Bag,4/6/2012
30,195,12/27/2010,Medium,34,1315.74,0.03,Regular Air,260.87,36.55,13.89,362,Yukon,Yukon,Home Office,Office Supplies,Pens & Art Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Wrap Bag,12/29/2010
31,197,4/6/2011,High,23,310.52,0.01,Regular Air,33.22,12.98,3.14,572,Manitoba,Prarie,Home Office,Office Supplies,"Scissors, Rulers and Trimmers","Acme� 8"" Straight Scissors",Small Pack,4/8/2011
34,224,6/17/2009,Not Specified,33,528.5,0.04,Regular Air,-149.92,15.42,10.68,456,Yukon,Yukon,Corporate,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",Small Box,6/18/2009
33,224,6/17/2009,Not Specified,44,267.85,0.04,Regular Air,-65.43,5.98,5.15,456,Yukon,Yukon,Corporate,Office Supplies,Paper,Xerox 193,Small Box,6/18/2009
32,224,6/17/2009,Not Specified,25,184.86,0.09,Regular Air,-33.95,7.38,5.21,456,Yukon,Yukon,Corporate,Furniture,Office Furnishings,"Eldon� Expressions� Wood Desk Accessories, Oak",Small Box,6/18/2009
36,225,5/24/2011,Critical,1,23.7,0.05,Regular Air,-8.97,19.84,4.1,412,Quebec,Quebec,Home Office,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,5/26/2011
35,225,5/24/2011,Critical,24,126.58,0.06,Regular Air,18.27,5.58,0.7,412,Quebec,Quebec,Home Office,Office Supplies,Pens & Art Supplies,Newell 314,Wrap Bag,5/25/2011
38,229,12/28/2010,Critical,24,599.1,0.02,Regular Air,3.82,24.92,12.98,616,Saskachewan,Prarie,Consumer,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers,Small Box,12/29/2010
37,229,12/28/2010,Critical,43,586.11,0.11,Regular Air,98.44,12.64,4.98,154,Nova Scotia,Atlantic,Consumer,Furniture,Office Furnishings,Nu-Dell Executive Frame,Small Pack,12/30/2010
40,230,10/26/2010,Critical,11,1118.396,0.06,Regular Air,-212.33,125.99,8.08,240,Ontario,Ontario,Corporate,Technology,Telephones and Communication,StarTAC ST7762,Small Box,10/28/2010
39,230,10/26/2010,Critical,47,2029.75,0.06,Regular Air,320.37,43.98,8.99,240,Ontario,Ontario,Corporate,Office Supplies,Pens & Art Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Small Pack,10/28/2010
41,231,9/28/2009,High,2,689.74,0.06,Regular Air,-490.84,363.25,19.99,573,Manitoba,Prarie,Small Business,Office Supplies,Appliances,Hoover WindTunnel� Plus Canister Vacuum,Small Box,9/30/2009
44,258,12/28/2010,Critical,33,216.77,0.02,Regular Air,-55.11,6.54,5.27,416,Quebec,Quebec,Home Office,Office Supplies,Binders and Binder Accessories,Wilson Jones� Four-Pocket Poly Binders,Small Box,12/30/2010
43,258,12/28/2010,Critical,7,201.36,0,Delivery Truck,-284.40,20.98,53.03,416,Nova Scotia,Atlantic,Home Office,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray",Jumbo Drum,12/29/2010
42,258,12/28/2010,Critical,21,154.35,0,Regular Air,-91.14,6.48,8.74,416,Nova Scotia,Atlantic,Home Office,Office Supplies,Paper,Xerox 1984,Small Box,12/30/2010
45,261,6/28/2010,Medium,47,5677.609,0.04,Regular Air,1680.79,140.99,4.2,103,British Columbia,West,Small Business,Technology,Telephones and Communication,7160,Small Box,6/29/2010
46,263,5/16/2009,High,25,136.77,0.09,Regular Air,-136.25,5.4,7.78,383,Yukon,Yukon,Corporate,Office Supplies,Binders and Binder Accessories,3M Organizer Strips,Small Box,5/17/2009
47,290,1/5/2009,Not Specified,24,188.73,0.05,Regular Air,-32.48,7.64,5.83,458,Quebec,Quebec,Home Office,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Wrap Bag,1/6/2009
48,292,1/12/2012,High,43,412.62,0.08,Regular Air,175.54,9.9,1.39,571,Saskachewan,Prarie,Consumer,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,Small Box,1/13/2012
50,293,10/1/2012,High,27,244.57,0.01,Regular Air,46.71,8.69,2.99,2,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl",Small Box,10/3/2012
49,293,10/1/2012,High,49,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,2,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,10/2/2012
51,294,7/15/2010,Medium,35,6375.28,0.06,Regular Air,489.02,193.17,19.99,89,British Columbia,West,Home Office,Office Supplies,Storage & Organization,Fellowes Staxonsteel� Drawer Files,Small Box,7/16/2010
53,322,3/18/2012,Critical,46,281,0.1,Regular Air,-291.59,6.48,10.05,120,British Columbia,West,Corporate,Office Supplies,Paper,Xerox 1997,Small Box,3/20/2012
52,322,3/18/2012,Critical,20,2634.8555,0.08,Regular Air,257.76,155.99,8.08,120,British Columbia,West,Corporate,Technology,Telephones and Communication,I888 World Phone,Small Box,3/20/2012
